Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt1826071/?ref_=sr_t_144,Adini Feriha Koydum,80,80,
https://www.imdb.com/title/tt13592218/?ref_=sr_t_145,Yesilçam,20,20,
https://www.imdb.com/title/tt12632132/?ref_=sr_t_146,Uyanis: Büyük Selcuklu,35,35,
https://www.imdb.com/title/tt30461250/?ref_=sr_t_147,Gaddar,,,
https://www.imdb.com/title/tt6536562/?ref_=sr_t_148,Payitaht Abdülhamid,154,154,
https://www.imdb.com/title/tt12562262/?ref_=sr_t_149,Emanet,621,621,
https://www.imdb.com/title/tt9826628/?ref_=sr_t_150,Yemin,504,504,
https://www.imdb.com/title/tt27494111/?ref_=sr_t_151,Kendi Düsen Aglamaz,27,27,
https://www.imdb.com/title/tt10324306/?ref_=sr_t_152,Afili Ask,38,38,
https://www.imdb.com/title/tt12466076/?ref_=sr_t_153,Yarim Kalan Asklar,8,,
https://www.imdb.com/title/tt8578458/?ref_=sr_t_154,Elimi birakma,59,59,
https://www.imdb.com/title/tt10689840/?ref_=sr_t_155,Ask Aglatir,16,,
https://www.imdb.com/title/tt11961378/?ref_=sr_t_156,Fatma,7,7,
https://www.imdb.com/title/tt9529500/?ref_=sr_t_157,Kuzgun,21,21,
https://www.imdb.com/title/tt4884472/?ref_=sr_t_158,Inadina Ask,32,,
https://www.imdb.com/title/tt19759234/?ref_=sr_t_159,Tozluyaka,26,26,
https://www.imdb.com/title/tt9060276/?ref_=sr_t_160,Aglama Anne,13,,
https://www.imdb.com/title/tt12687036/?ref_=sr_t_161,Kirmizi Oda,61,61,
https://www.imdb.com/title/tt10319866/?ref_=sr_t_162,Her Yerde Sen,23,23,
https://www.imdb.com/title/tt0441924/?ref_=sr_t_163,Gümüs,100,,
https://www.imdb.com/title/tt24224504/?ref_=sr_t_164,Veda Mektubu,24,,
https://www.imdb.com/title/tt4745726/?ref_=sr_t_165,Elif,945,945,
https://www.imdb.com/title/tt12735946/?ref_=sr_t_166,Ariza,30,30,
https://www.imdb.com/title/tt6132758/?ref_=sr_t_167,Anne,33,33,
https://www.imdb.com/title/tt11426542/?ref_=sr_t_168,Zemheri,10,10,
https://www.imdb.com/title/tt6756704/?ref_=sr_t_169,Fazilet Hanim ve Kizlari,50,50,
https://www.imdb.com/title/tt6462806/?ref_=sr_t_170,Istanbullu Gelin,87,87,
https://www.imdb.com/title/tt24060116/?ref_=sr_t_171,Kismetse Olur: Askin Gücü,19,,
https://www.imdb.com/title/tt1783916/?ref_=sr_t_172,Fatmagül'ün Suçu Ne?,80,80,
https://www.imdb.com/title/tt14433846/?ref_=sr_t_173,Sakli,10,,
https://www.imdb.com/title/tt0875103/?ref_=sr_t_174,Sila,94,,
https://www.imdb.com/title/tt0905574/?ref_=sr_t_175,Binbir Gece,90,90,
https://www.imdb.com/title/tt7130992/?ref_=sr_t_176,Çember,19,,
https://www.imdb.com/title/tt5923410/?ref_=sr_t_177,Yüksek Sosyete,26,,
https://www.imdb.com/title/tt16259122/?ref_=sr_t_178,Üç Kiz Kardes,102,102,
https://www.imdb.com/title/tt4900982/?ref_=sr_t_179,Çilek Kokusu,23,23,
https://www.imdb.com/title/tt11174344/?ref_=sr_t_180,Ferhat ile Sirin,6,,
https://www.imdb.com/title/tt2275071/?ref_=sr_t_181,Suskunlar,28,28,
https://www.imdb.com/title/tt20319260/?ref_=sr_t_182,Sadece Arkadasiz,20,20,
https://www.imdb.com/title/tt14898744/?ref_=sr_t_183,Mahkum,31,31,
https://www.imdb.com/title/tt19496062/?ref_=sr_t_184,Aldatmak,51,,
https://www.imdb.com/title/tt26083408/?ref_=sr_t_185,Kraliçe,11,,
https://www.imdb.com/title/tt1478022/?ref_=sr_t_186,Genis Aile,108,108,
https://www.imdb.com/title/tt9910728/?ref_=sr_t_187,Zalim Istanbul,39,39,
https://www.imdb.com/title/tt14183290/?ref_=sr_t_188,Cam Tavanlar,8,8,
https://www.imdb.com/title/tt12694046/?ref_=sr_t_189,Masumlar Apartmani,71,71,
https://www.imdb.com/title/tt0499168/?ref_=sr_t_190,Aci Hayat,59,,
https://www.imdb.com/title/tt21105044/?ref_=sr_t_191,Bir Küçük Gün Isigi,36,36,
https://www.imdb.com/title/tt7224504/?ref_=sr_t_192,Meryem,30,30,
https://www.imdb.com/title/tt3671754/?ref_=sr_t_193,Kardes Payi,35,35,
https://www.imdb.com/title/tt11896074/?ref_=sr_t_194,Yeni Hayat,9,,
https://www.imdb.com/title/tt4015496/?ref_=sr_t_195,Kiraz Mevsimi,59,59,
https://www.imdb.com/title/tt21874026/?ref_=sr_t_196,Yürek Çikmazi,28,,
https://www.imdb.com/title/tt21435250/?ref_=sr_t_197,Bir Peri Masali,13,,
https://www.imdb.com/title/tt2184065/?ref_=sr_t_198,Yalan Dünya,90,90,
https://www.imdb.com/title/tt20835764/?ref_=sr_t_199,Gelsin Hayat Bildigi Gibi,41,41,
https://www.imdb.com/title/tt19410124/?ref_=sr_t_200,Gizli Sakli,8,,
https://www.imdb.com/title/tt19394330/?ref_=sr_t_201,Hicran,164,,
https://www.imdb.com/title/tt12872494/?ref_=sr_t_202,Iyi Günde Kötü Günde,6,6,
https://www.imdb.com/title/tt16428772/?ref_=sr_t_203,Baba,30,30,
https://www.imdb.com/title/tt5988404/?ref_=sr_t_204,No: 309,65,65,
https://www.imdb.com/title/tt6543986/?ref_=sr_t_205,Sifir Bir,43,43,
https://www.imdb.com/title/tt6941980/?ref_=sr_t_206,Savasci,109,109,
https://www.imdb.com/title/tt21308714/?ref_=sr_t_207,Arayis,6,,
https://www.imdb.com/title/tt7115656/?ref_=sr_t_208,Kalp Atisi,28,28,
https://www.imdb.com/title/tt0434735/?ref_=sr_t_209,Yabanci Damat,106,106,
https://www.imdb.com/title/tt13667230/?ref_=sr_t_210,Konusanlar,126,126,
https://www.imdb.com/title/tt7535994/?ref_=sr_t_211,Ufak Tefek Cinayetler,45,45,
https://www.imdb.com/title/tt1786368/?ref_=sr_t_212,Yer Gök Ask,122,,
https://www.imdb.com/title/tt6132768/?ref_=sr_t_213,Hayat Bazen Tatlidir,26,,
https://www.imdb.com/title/tt11617848/?ref_=sr_t_214,50M2,8,8,
https://www.imdb.com/title/tt15471722/?ref_=sr_t_215,Kaderimin Oyunu,26,26,
https://www.imdb.com/title/tt5606154/?ref_=sr_t_216,46 Yok Olan,13,,
https://www.imdb.com/title/tt28334630/?ref_=sr_t_217,Kader Baglari,5,,
https://www.imdb.com/title/tt22726060/?ref_=sr_t_218,EGO - Erkege Güven Olmaz,13,,
https://www.imdb.com/title/tt7923832/?ref_=sr_t_219,Avlu,54,54,
https://www.imdb.com/title/tt15665202/?ref_=sr_t_220,Etkileyici,20,,
https://www.imdb.com/title/tt4875520/?ref_=sr_t_221,Iliski Durumu: Karisik,44,,
https://www.imdb.com/title/tt8495684/?ref_=sr_t_222,Beni Birakma,454,,
https://www.imdb.com/title/tt4824056/?ref_=sr_t_223,Ulan Istanbul,39,,
https://www.imdb.com/title/tt7932896/?ref_=sr_t_224,Sen Anlat Karadeniz,64,64,
https://www.imdb.com/title/tt9808672/?ref_=sr_t_225,Bir Aile Hikayesi,18,,
https://www.imdb.com/title/tt7621364/?ref_=sr_t_226,Siyah Inci,20,20,
https://www.imdb.com/title/tt1147691/?ref_=sr_t_227,Asi,71,71,
https://www.imdb.com/title/tt0264700/?ref_=sr_t_228,Ikinci Bahar,37,37,
https://www.imdb.com/title/tt18247270/?ref_=sr_t_229,Kasaba Doktoru,33,,
https://www.imdb.com/title/tt10882988/?ref_=sr_t_230,Benim Adim Melek,68,68,
https://www.imdb.com/title/tt22642898/?ref_=sr_t_231,Kader Oyunlari,5,,
https://www.imdb.com/title/tt10682186/?ref_=sr_t_232,Kuzey Yildizi,64,64,
https://www.imdb.com/title/tt19394340/?ref_=sr_t_233,Iyilik,27,,
https://www.imdb.com/title/tt0489902/?ref_=sr_t_234,Ihlamurlar Altinda,40,,
https://www.imdb.com/title/tt21279294/?ref_=sr_t_235,Teskilat-i Mahsusa Trablus,10,,
https://www.imdb.com/title/tt13691134/?ref_=sr_t_236,Tozkoparan Iskender,40,40,
https://www.imdb.com/title/tt5302120/?ref_=sr_t_237,Hayat Sarkisi,57,57,
https://www.imdb.com/title/tt1447832/?ref_=sr_t_238,Bir Bulut Olsam,29,,
https://www.imdb.com/title/tt2575740/?ref_=sr_t_239,Intikam,44,44,
https://www.imdb.com/title/tt0878797/?ref_=sr_t_240,Hatirla Sevgili,67,67,
https://www.imdb.com/title/tt21385714/?ref_=sr_t_241,Darmaduman,9,,
https://www.imdb.com/title/tt9525880/?ref_=sr_t_242,Tek Yürek,22,22,
https://www.imdb.com/title/tt12872884/?ref_=sr_t_243,Gönül Dagi,121,121,
