,Unnamed: 0,Name,Years,Age,Duration,Rating,VoteCount,Summary,Review_Count,Seasons,Star1,Star2,Star3,EpisodeCount,baslangic,isFinal,Sınıf,EpsPerSeason,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Game-Show,History,Music,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,others,HasLove,HasFamily,HasIstanbul,Basrol_Class1,Basrol_Class2,Basrol_Class3,Basrol_Class4
40,41,Içerde,2016–2017,7.0,60.0,8.1,20000.0,"A story of two brothers torn from each other. Now on the opposite sides of the law, brothers Sarp and Mert are put against each other, unaware of their fraternity.",22.5,2.0,Ugur Günes,Dilin Doger,Mehmet Ali Nuroglu,5.0,2016,1,2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,Hercai,2019–2021,7.0,120.0,6.6,4000.0,Miran is seeking revenge for his parents death so he plans to marry daughter Reyyan from the family who were responsible for that. Unexpectedly he falls in love with Reyyan. Will this change the plan?,22.5,3.0,Kerem Bürsin,Hande Dogandemir,Yagmur Tanrisevsin,54.0,2019,1,3,18.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
42,43,Biz Kimden Kaçiyorduk Anne?,2023,7.0,45.0,5.8,3900.0,"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat.",22.5,3.0,Halit Ergenç,Nur Fettahoglu,Selim Bayraktar,101.0,2023,0,3,45.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
43,44,Vatanim Sensin,2016–2018,7.0,120.0,8.4,5300.0,"During the occupation of Izmir by the Greeks, a Turkish soldier starts to work for the enemy. But he is not really on the side of the enemy. He must keep this secret at the cost of losing his family.",20.0,2.0,Çagatay Ulusoy,Aras Bulut Iynemli,Çetin Tekindor,39.0,2016,1,2,20.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
44,45,Yasak Elma,2018–2023,7.0,120.0,5.8,2700.0,"Three things in life can not be hidden ""love, smoke and lack of money"". The social society and the events behind the business world are told.",22.5,4.5,Akin Akinözü,Ebru Sahin,Ayda Aksel,81.0,2018,1,4,14.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
45,46,Zeytin Agaci,2022– ,7.0,50.0,6.6,6900.0,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,22.5,2.0,Melisa Sözen,Eylül Tumbar,Musa Uzunlar,7.0,2022,0,2,4.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
46,47,Ayak Isleri,2021–2023,7.0,20.0,8.4,4400.0,"Experienced missionary Vedat and philosophy-educated, politically correct Evren are the duo assigned to the 'extremely important' errands of a wealthy businessman. This discordant duo, one of whom closes his eyes and does his duty, questions his name, embarks on another adventure. But more they conflict within themselves than they do on duty.",6.0,3.0,Halit Ergenç,Bergüzar Korel,Boran Kuzum,60.0,2021,1,3,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,48,Safir,2023– ,7.0,83.0,6.3,513749.99999999977,"Yaman and Feraye, who have kept a great love hidden from everyone since childhood, have very little time left before they are reunited again.",6.0,2.0,Sevval Sam,Eda Ece,Baris Aytac,101.0,2023,0,2,45.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
48,49,Ask 101,2020–2021,7.0,40.0,7.4,17000.0,"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.",22.5,2.0,Nuran Evren Sit,,,8.0,2020,1,2,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
49,50,Kurtlar Vadisi: Pusu,2007–2016,7.0,83.0,6.2,9100.0,"Valley of the Wolves, the legendary action drama, centers around Polat Alemdar and follows his journey to serve his country by trying to uncover the truth and defeating the secret enemies aka the controllers of the global power.",6.0,4.5,Çaglar Çorumlu,Güven Murat Akpinar,Cagla Irmak,30.0,2007,1,4,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,Sakla Beni,2023– ,7.0,83.0,4.7,287000.0,"An encounter between Incila, Naz's despised assistant and Mete begins to change the direction of Naz's future, where she plans everything with Mete with a toxic passion.",5.0,2.0,Ilhan Sen,Özge Yagiz,Burak Berkay Akgül,17.0,2023,0,2,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,Fi,2017–2018,7.0,60.0,7.8,12000.0,"The story of those who pursue passion, those who fly at the expense of burning and those who stand up against life in pain.",22.5,2.0,Meriç Acemi,,,16.0,2017,1,2,8.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,Destan,2021–2022,7.0,130.0,7.3,1600.0,"The epic love story of Akkiz, a warrior mountain girl, and disabled Prince Batuga, who were both orphaned by Gök Han in the 8th century in the harsh steppes of Central Asia.",22.5,2.0,Necati Sasmaz,Erhan Ufak,Cahit Kayaoglu,101.0,2021,1,2,45.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,54,Aynen Aynen,2019–2021,7.0,83.0,7.5,4700.0,The series tells the story of Deniz and Nil's entertaining relationship by explaining the relationship between men and women in a humorous as well as realistic language. We see the situations in which Nil and Deniz want to show themselves to the other party in the relationship and in fact their own real thoughts.,13.0,4.5,Uraz Kaygilaroglu,Cemre Baysel,Asude Kalebek,7.0,2019,1,4,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
