Field1_links,Dogum_Tarihi,Yas,Kariyer,Proje_Sayısı,Name
https://www.beyazperde.com/sanatcilar/sanatci-582081/,,,11,11,Ceren Moray
https://www.beyazperde.com/sanatcilar/sanatci-529345/,"
25 Ekim 1992
","
Yaş 
31
",12,12,Ayça Ayşin Turan
https://www.beyazperde.com/sanatcilar/sanatci-518370/,,,13,15,İrem Sak
https://www.beyazperde.com/sanatcilar/sanatci-520530/,"
21 Şubat 1978
","
Yaş 
45
",13,8,Barış Kılıç
https://www.beyazperde.com/sanatcilar/sanatci-551348/,,,11,9,Gupse Özay
https://www.beyazperde.com/sanatcilar/sanatci-740134/,,,,,Ulaş Bahadır
https://www.beyazperde.com/sanatcilar/sanatci-878923/,"
7 Şubat 1991
","
Yaş 
32
",4,6,Serkay Tütüncü
https://www.beyazperde.com/sanatcilar/sanatci-425881/,"
20 Ağustos 1983
","
Yaş 
40
",14,13,İbrahim Büyükak
https://www.beyazperde.com/sanatcilar/sanatci-515520/,"
10 Mayıs 1984
","
Yaş 
39
",16,13,Aslı Enver
https://www.beyazperde.com/sanatcilar/sanatci-644672/,"
24 Ağustos 1990
","
Yaş 
33
",10,10,Yağmur Tanrısevsin
https://www.beyazperde.com/sanatcilar/sanatci-687995/,"
24 Aralık 1986
","
Yaş 
37
",9,15,Kaan Yıldırım
https://www.beyazperde.com/sanatcilar/sanatci-596814/,,,11,9,İlker Kaleli
https://www.beyazperde.com/sanatcilar/sanatci-536263/,"
20 Ağustos 1990
","
Yaş 
33
",12,11,Öykü Karayel
https://www.beyazperde.com/sanatcilar/sanatci-918631/,,,3,5,Cemre Baysel
https://www.beyazperde.com/sanatcilar/sanatci-520790/,,"
Uyruk 
Türk ,
İngiliz
",15,14,Yasemin Allen
https://www.beyazperde.com/sanatcilar/sanatci-882119/,,,,,Deniz Can Aktaş
https://www.beyazperde.com/sanatcilar/sanatci-695046/,"
1 Ekim 1993
","
Yaş 
30
",7,7,Serenay Aktaş
https://www.beyazperde.com/sanatcilar/sanatci-651725/,"
23 Temmuz 1989
","
Yaş 
34
",10,7,Burcu Kıratlı
https://www.beyazperde.com/sanatcilar/sanatci-547500/,"
4 Haziran 1987
","
Yaş 
36
",10,14,Kerem Bursin
https://www.beyazperde.com/sanatcilar/sanatci-525666/,,"
Doğum tarihi 


20 Ağustos 1992


(İstanbul)
",11,11,Neslihan Atagül
https://www.beyazperde.com/sanatcilar/sanatci-782598/,"
3 Ocak 1987
","
Yaş 
36
",6,8,Ceyda Kasabalı
https://www.beyazperde.com/sanatcilar/sanatci-704180/,"
24 Kasım 1993
","
Yaş 
30
",9,8,Hande Erçel
https://www.beyazperde.com/sanatcilar/sanatci-240605/,"
29 Ekim 1974
","
Yaş 
49
",23,24,Yurdaer Okur
https://www.beyazperde.com/sanatcilar/sanatci-213971/,"
6 Nisan 1972
","
Yaş 
51
",23,29,Yiğit Özşener
https://www.beyazperde.com/sanatcilar/sanatci-519819/,"
21 Ocak 1976
","
Yaş 
47
",22,31,Serdar Orçin
https://www.beyazperde.com/sanatcilar/sanatci-761001/,"
31 Mayıs 1975
","
Yaş 
48
",8,10,Defne Kayalar
https://www.beyazperde.com/sanatcilar/sanatci-204100/,"
26 Mart 1969
","
Yaş 
54
",18,15,Mahsun Kırmızıgül
https://www.beyazperde.com/sanatcilar/sanatci-504614/,"
10 Kasım 1982
","
Yaş 
41
",16,19,Ahmet Kural
https://www.beyazperde.com/sanatcilar/sanatci-534243/,,,14,6,Gözde Seda Altuner
https://www.beyazperde.com/sanatcilar/sanatci-100657/,"
13 Ağustos 1976
","
Yaş 
47
",30,23,Özge Özberk
https://www.beyazperde.com/sanatcilar/sanatci-169536/,"
26 Temmuz 1979
","
Yaş 
44
",22,34,Engin Altan Düzyatan
https://www.beyazperde.com/sanatcilar/sanatci-537066/,"
30 Ağustos 1970
","
Yaş 
53
",12,37,Mehmet Özgür
https://www.beyazperde.com/sanatcilar/sanatci-769095/,"
12 Şubat 1980
","
Yaş 
43
",8,5,Diren Polatoğulları
https://www.beyazperde.com/sanatcilar/sanatci-510153/,,,18,20,Sezin Akbaşoğulları
https://www.beyazperde.com/sanatcilar/sanatci-520533/,"
16 Ağustos 1979
","
Yaş 
44
",15,18,Çağdaş Onur Öztürk
https://www.beyazperde.com/sanatcilar/sanatci-647141/,"
26 Şubat 1992
","
Yaş 
31
",8,12,Demet Özdemir
https://www.beyazperde.com/sanatcilar/sanatci-152189/,"
4 Nisan 1970
","
Yaş 
53
",23,29,Çağan Irmak
https://www.beyazperde.com/sanatcilar/sanatci-509710/,,,14,12,Rüzgar Aksoy
https://www.beyazperde.com/sanatcilar/sanatci-815661/,,"
Doğum tarihi 


6 Eylül 1985


",5,8,Doğu Demirkol
https://www.beyazperde.com/sanatcilar/sanatci-150619/,"
2 Eylül 1965
","
Yaş 
58
",24,48,Ahmet Mümtaz Taylan
https://www.beyazperde.com/sanatcilar/sanatci-908417/,,,,,Tarık Emir Tekin
https://www.beyazperde.com/sanatcilar/sanatci-700471/,,,,,Pelin Orhuner
https://www.beyazperde.com/sanatcilar/sanatci-559419/,"
26 Ekim 1983
","
Yaş 
40
",11,24,Özgür Emre Yıldırım
https://www.beyazperde.com/sanatcilar/sanatci-262006/,"
26 Şubat 1984
","
Yaş 
39
",19,14,Beren Saat
https://www.beyazperde.com/sanatcilar/sanatci-515171/,"
1 Nisan 1986
","
Yaş 
37
",11,9,Yıldız Çağrı Atiksoy
https://www.beyazperde.com/sanatcilar/sanatci-13923/,"
8 Mayıs 1975
","
Yaş 
48
",34,24,Mehmet Günsür
https://www.beyazperde.com/sanatcilar/sanatci-715777/,"
6 Ocak 1986
","
Yaş 
37
",8,10,Biran Damla Yılmaz
https://www.beyazperde.com/sanatcilar/sanatci-514690/,,,13,10,Alper Çağlar
https://www.beyazperde.com/sanatcilar/sanatci-517342/,"
8 Mayıs 1981
","
Yaş 
42
",21,17,Kaan Urgancıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-515153/,"
16 Ocak 1975
","
Yaş 
48
",24,16,Ayça Bingöl
https://www.beyazperde.com/sanatcilar/sanatci-515219/,"
23 Şubat 1988
","
Yaş 
35
",13,14,Nilperi Şahinkaya
https://www.beyazperde.com/sanatcilar/sanatci-218619/,"
24 Aralık 1979
","
Yaş 
44
",18,24,Tülin Özen
https://www.beyazperde.com/sanatcilar/sanatci-516744/,,,13,15,Deniz Celiloğlu
https://www.beyazperde.com/sanatcilar/sanatci-169528/,"
27 Ocak 1965
","
Yaş 
58
",32,19,Oktay Kaynarca
https://www.beyazperde.com/sanatcilar/sanatci-145822/,"
15 Aralık 1971
","
Yaş 
52
",16,7,Necati Şasmaz
https://www.beyazperde.com/sanatcilar/sanatci-209806/,,,16,20,Alper Mestçi
https://www.beyazperde.com/sanatcilar/sanatci-531204/,"
15 Ağustos 1925
","
Yaş 
98
",40,49,Münir Özkul
https://www.beyazperde.com/sanatcilar/sanatci-550306/,"
7 Eylül 1992
","
Yaş 
31
",11,21,Gizem Karaca
https://www.beyazperde.com/sanatcilar/sanatci-167132/,,,18,24,Nursel Köse
https://www.beyazperde.com/sanatcilar/sanatci-524671/,"
21 Kasım 1974
","
Yaş 
49
",25,12,Ali Nuri Türkoğlu
https://www.beyazperde.com/sanatcilar/sanatci-836050/,"
25 Ağustos 2001
","
Yaş 
22
",7,6,Sude Zülal Güler
https://www.beyazperde.com/sanatcilar/sanatci-516745/,,,13,15,Sera Tokdemir
https://www.beyazperde.com/sanatcilar/sanatci-515340/,"
18 Şubat 1988
","
Yaş 
35
",12,17,Şükrü Özyıldız
https://www.beyazperde.com/sanatcilar/sanatci-860022/,"
7 Mayıs 1999
","
Yaş 
24
",4,5,Simay Barlas
https://www.beyazperde.com/sanatcilar/sanatci-190547/,"
4 Eylül 1961
","
Yaş 
62
",32,36,Uğur Polat
https://www.beyazperde.com/sanatcilar/sanatci-499829/,"
9 Mart 1980
","
Yaş 
43
",32,15,Burçin Terzioğlu
https://www.beyazperde.com/sanatcilar/sanatci-527268/,,,,,Kerem Fırtına
https://www.beyazperde.com/sanatcilar/sanatci-755697/,"
14 Haziran 1998
","
Yaş 
25
",8,10,Alina Boz
https://www.beyazperde.com/sanatcilar/sanatci-889826/,"
27 Nisan 1999
","
Yaş 
24
",2,6,Aslıhan Karalar
https://www.beyazperde.com/sanatcilar/sanatci-543820/,"
17 Ağustos 1983
","
Yaş 
40
",11,17,Yiğit Kirazcı
https://www.beyazperde.com/sanatcilar/sanatci-673526/,,,9,13,Bestemsu Özdemir
https://www.beyazperde.com/sanatcilar/sanatci-255602/,"
2 Ekim 1976
","
Yaş 
47
",16,35,Cemal Hünal
https://www.beyazperde.com/sanatcilar/sanatci-668517/,"
1 Temmuz 1990
","
Yaş 
33
",9,13,Meriç Aral
https://www.beyazperde.com/sanatcilar/sanatci-822090/,,,,,Onur Seyit Yaran
https://www.beyazperde.com/sanatcilar/sanatci-259735/,"
19 Mayıs 1980
","
Yaş 
43
",23,22,Demet Evgar
https://www.beyazperde.com/sanatcilar/sanatci-969974/,,,,,Mehmet Kahraman
https://www.beyazperde.com/sanatcilar/sanatci-510778/,"
25 Mayıs 1980
","
Yaş 
43
",17,16,Nergis Öztürk
https://www.beyazperde.com/sanatcilar/sanatci-423031/,"
6 Temmuz 1972
","
Yaş 
51
",19,13,Ata Demirer
https://www.beyazperde.com/sanatcilar/sanatci-530676/,,,,,Ayben Erman
https://www.beyazperde.com/sanatcilar/sanatci-529161/,"
29 Mart 1983
","
Yaş 
40
",19,28,Ezgi Mola
https://www.beyazperde.com/sanatcilar/sanatci-880645/,,,,,Yasemin Sakallıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-485172/,,,19,17,Ahu Türkpençe
https://www.beyazperde.com/sanatcilar/sanatci-7417/,,,59,203,Türkan Şoray
https://www.beyazperde.com/sanatcilar/sanatci-666255/,,,11,8,Gökçe Eyüboğlu
https://www.beyazperde.com/sanatcilar/sanatci-519255/,,,28,28,Fatih Aksoy
https://www.beyazperde.com/sanatcilar/sanatci-210501/,"
30 Kasım 1981
","
Yaş 
42
",18,19,Melis Birkan
https://www.beyazperde.com/sanatcilar/sanatci-517318/,"
13 Şubat 1988
","
Yaş 
35
",12,18,Fatih Artman
https://www.beyazperde.com/sanatcilar/sanatci-740373/,"
6 Eylül 1992
","
Yaş 
31
",8,6,Müge Bayramoğlu
https://www.beyazperde.com/sanatcilar/sanatci-551638/,,,16,8,Ozan Uzunoğlu
https://www.beyazperde.com/sanatcilar/sanatci-169553/,"
24 Haziran 1973
","
Yaş 
50
",24,28,Onur Ünlü
https://www.beyazperde.com/sanatcilar/sanatci-861623/,,,4,4,Devrim Özkan
https://www.beyazperde.com/sanatcilar/sanatci-705989/,"
21 Aralık 1990
","
Yaş 
33
",8,6,Melisa Akman
https://www.beyazperde.com/sanatcilar/sanatci-452491/,"
29 Ocak 1972
","
Yaş 
51
",22,16,Engin Günaydın
https://www.beyazperde.com/sanatcilar/sanatci-518509/,"
13 Haziran 1965
","
Yaş 
58
",19,12,Vahide Perçin
https://www.beyazperde.com/sanatcilar/sanatci-795602/,,,,,Arif Sevimli
https://www.beyazperde.com/sanatcilar/sanatci-1007332/,,,,,Merve Cin
https://www.beyazperde.com/sanatcilar/sanatci-505151/,,,13,11,Esra Dermancıoğlu
https://www.beyazperde.com/sanatcilar/sanatci-519132/,,,16,13,İbrahim Selim
https://www.beyazperde.com/sanatcilar/sanatci-516914/,,"
Doğum tarihi 


18 Şubat 1972


(İstanbul)
",25,16,Yasemin Baştan
https://www.beyazperde.com/sanatcilar/sanatci-152128/,"
16 Temmuz 1945
","
Yaş 
78
",38,21,Çetin Tekindor
https://www.beyazperde.com/sanatcilar/sanatci-217190/,,,15,26,Ercan Kesal
https://www.beyazperde.com/sanatcilar/sanatci-744324/,,,7,6,Görkem Kasal
https://www.beyazperde.com/sanatcilar/sanatci-504534/,"
13 Aralık 1978
","
Yaş 
45
",23,23,Okan Yalabık
https://www.beyazperde.com/sanatcilar/sanatci-205319/,"
2 Nisan 1979
","
Yaş 
44
",18,23,Aslı Tandoğan
https://www.beyazperde.com/sanatcilar/sanatci-524076/,"
12 Ağustos 1983
","
Yaş 
40
",9,6,Meryem Uzerli
https://www.beyazperde.com/sanatcilar/sanatci-11359/,"
26 Mayıs 1957
","
Yaş 
66
",39,35,Uğur Yücel
https://www.beyazperde.com/sanatcilar/sanatci-633066/,"
4 Nisan 1990
","
Yaş 
33
",10,10,Furkan Andıç
